d_codigo,d_asenta,d_tipo_asenta,D_mnpio,d_estado,d_ciudad,d_CP,c_estado,c_oficina,c_CP,c_tipo_asenta,c_mnpio,id_asenta_cpcons,d_zona,c_cve_ciudad
58000,INFONAVIT El P°pila,Unidad habitacional,Morelia,Michoac†n de Ocampo,Morelia,58011,16,58011,,31,053,0001,Urbano,06
58000,Centro Hist¢rico,Colonia,Morelia,Michoac†n de Ocampo,Morelia,58011,16,58011,,09,053,0002,Urbano,06
58000,INFONAVIT Plan de Ayala,Unidad habitacional,Morelia,Michoac†n de Ocampo,Morelia,58011,16,58011,,31,053,0003,Urbano,06
58004,Universidad Michoacana de San Nicol†s de Hidalgo,Equipamiento,Morelia,Michoac†n de Ocampo,Morelia,58011,16,58011,,17,053,0007,Urbano,06
58006,Secretaria de Salud,Equipamiento,Morelia,Michoac†n de Ocampo,Morelia,58011,16,58011,,17,053,0008,Urbano,06
58009,Palacio de Gobierno Del Estado de Michoac†n,Equipamiento,Morelia,Michoac†n de Ocampo,Morelia,58011,16,58011,,17,053,0011,Urbano,06
58010,Ju†rez,Colonia,Morelia,Michoac†n de Ocampo,Morelia,58011,16,58011,,09,053,0012,Urbano,06
58010,Molino de Parras,Colonia,Morelia,Michoac†n de Ocampo,Morelia,58011,16,58011,,09,053,0013,Urbano,06
58013,Supremo Tribunal de Justicia,Equipamiento,Morelia,Michoac†n de Ocampo,Morelia,58011,16,58011,,17,053,0016,Urbano,06
58020,CuauhtÇmoc,Colonia,Morelia,Michoac†n de Ocampo,Morelia,58011,16,58011,,09,053,0017,Urbano,06
58020,Ventura Puente,Colonia,Morelia,Michoac†n de Ocampo,Morelia,58011,16,58011,,09,053,0018,Urbano,06
58030,Morelos,Colonia,Morelia,Michoac†n de Ocampo,Morelia,58011,16,58011,,09,053,0019,Urbano,06
58040,Felicitas del R°o,Colonia,Morelia,Michoac†n de Ocampo,Morelia,58011,16,58011,,09,053,0022,Urbano,06
58040,Gustavo D°az Ordaz,Colonia,Morelia,Michoac†n de Ocampo,Morelia,58011,16,58011,,09,053,0023,Urbano,06
58048,FOVISSSTE La Huerta,Unidad habitacional,Morelia,Michoac†n de Ocampo,Morelia,58011,16,58011,,31,053,0025,Urbano,06
58048,Manuel Villalong°n,Colonia,Morelia,Michoac†n de Ocampo,Morelia,58011,16,58011,,09,053,0026,Urbano,06
58049,Jardines del Toreo,Colonia,Morelia,Michoac†n de Ocampo,Morelia,58011,16,58011,,09,053,0027,Urbano,06
58049,Ampliaci¢n Jardines del Toreo,Colonia,Morelia,Michoac†n de Ocampo,Morelia,58011,16,58011,,09,053,0028,Urbano,06
58050,Hacienda Pe§asco,Fraccionamiento,Morelia,Michoac†n de Ocampo,Morelia,58011,16,58011,,21,053,0014,Urbano,06
58050,Cosmos,Colonia,Morelia,Michoac†n de Ocampo,Morelia,58011,16,58011,,09,053,0029,Urbano,06
58050,Lomas de la Huerta,Colonia,Morelia,Michoac†n de Ocampo,Morelia,58011,16,58011,,09,053,0030,Urbano,06
58050,Paseos de la Hacienda,Colonia,Morelia,Michoac†n de Ocampo,Morelia,58011,16,58011,,09,053,0031,Urbano,06
58050,Tlalpujahua,Colonia,Morelia,Michoac†n de Ocampo,Morelia,58011,16,58011,,09,053,0032,Urbano,06
58050,La Pradera,Colonia,Morelia,Michoac†n de Ocampo,Morelia,58011,16,58011,,09,053,0987,Urbano,06
58055,Villas de F†tima,Colonia,Morelia,Michoac†n de Ocampo,Morelia,58011,16,58011,,09,053,0033,Urbano,06
58056,Arboledas,Colonia,Morelia,Michoac†n de Ocampo,Morelia,58011,16,58011,,09,053,0034,Urbano,06
58056,Los Fresnos,Colonia,Morelia,Michoac†n de Ocampo,Morelia,58011,16,58011,,09,053,0035,Urbano,06
58056,Vista Hermosa,Colonia,Morelia,Michoac†n de Ocampo,Morelia,58011,16,58011,,09,053,0036,Urbano,06
58056,La Giralda,Condominio,Morelia,Michoac†n de Ocampo,Morelia,58011,16,58011,,10,053,0265,Urbano,06
58056,Villas Del Carmen,Fraccionamiento,Morelia,Michoac†n de Ocampo,Morelia,58011,16,58011,,21,053,3612,Urbano,06
58056,Pinar de el R°o,Colonia,Morelia,Michoac†n de Ocampo,Morelia,58011,16,58011,,09,053,3613,Urbano,06
58056,Ampliaci¢n Los Fresnos,Colonia,Morelia,Michoac†n de Ocampo,Morelia,58011,16,58011,,09,053,3645,Urbano,06
58056,Ampliaci¢n Vista Hermosa,Colonia,Morelia,Michoac†n de Ocampo,Morelia,58011,16,58011,,09,053,3648,Urbano,06
58056,General Mariano JimÇnez,Colonia,Morelia,Michoac†n de Ocampo,Morelia,58011,16,58011,,09,053,3663,Urbano,06
58056,Ampliaci¢n Mariano JimÇnez,Fraccionamiento,Morelia,Michoac†n de Ocampo,Morelia,58011,16,58011,,21,053,3924,Urbano,06
58057,Los Pinos de Michoac†n,Colonia,Morelia,Michoac†n de Ocampo,Morelia,58011,16,58011,,09,053,0038,Urbano,06
58058,Morelia 450,Colonia,Morelia,Michoac†n de Ocampo,Morelia,58011,16,58011,,09,053,0039,Urbano,06
58058,Antares,Unidad habitacional,Morelia,Michoac†n de Ocampo,Morelia,58011,16,58011,,31,053,0470,Urbano,06
58058,Mirador de la Monta§a,Fraccionamiento,Morelia,Michoac†n de Ocampo,Morelia,58011,16,58011,,21,053,3733,Urbano,06
58060,Alberto Oviedo Mota,Colonia,Morelia,Michoac†n de Ocampo,Morelia,58011,16,58011,,09,053,0040,Urbano,06
58060,Residencial del Sur,Colonia,Morelia,Michoac†n de Ocampo,Morelia,58011,16,58011,,09,053,0041,Urbano,06
58060,Villa Universidad,Colonia,Morelia,Michoac†n de Ocampo,Morelia,58011,16,58011,,09,053,0042,Urbano,06
58060,Turquesa,Condominio,Morelia,Michoac†n de Ocampo,Morelia,58011,16,58011,,10,053,0554,Urbano,06
58060,Diamante,Conjunto habitacional,Morelia,Michoac†n de Ocampo,Morelia,58011,16,58011,,12,053,3650,Urbano,06
58060,JosÇ Mar°a Garc°a Obeso,Conjunto habitacional,Morelia,Michoac†n de Ocampo,Morelia,58011,16,58011,,12,053,3665,Urbano,06
58060,Real Tulipanes,Fraccionamiento,Morelia,Michoac†n de Ocampo,Morelia,58011,16,58011,,21,053,3926,Urbano,06
58060,Real Universidad,Fraccionamiento,Morelia,Michoac†n de Ocampo,Morelia,58011,16,58011,,21,053,3927,Urbano,06
58060,Real Universidad II,Fraccionamiento,Morelia,Michoac†n de Ocampo,Morelia,58011,16,58011,,21,053,6279,Urbano,06
58066,Valle Quieto,Colonia,Morelia,Michoac†n de Ocampo,Morelia,58011,16,58011,,09,053,0043,Urbano,06
58066,Ampliaci¢n Valle Quieto,Colonia,Morelia,Michoac†n de Ocampo,Morelia,58011,16,58011,,09,053,0044,Urbano,06
58067,INFONAVIT Benito Ju†rez,Colonia,Morelia,Michoac†n de Ocampo,Morelia,58011,16,58011,,09,053,0045,Urbano,06
58069,INFONAVIT Villa Universidad,Unidad habitacional,Morelia,Michoac†n de Ocampo,Morelia,58011,16,58011,,31,053,0047,Urbano,06
58069,Rinc¢n Quieto,Colonia,Morelia,Michoac†n de Ocampo,Morelia,58011,16,58011,,09,053,0048,Urbano,06
58070,FÇlix Ireta,Colonia,Morelia,Michoac†n de Ocampo,Morelia,58011,16,58011,,09,053,0050,Urbano,06
58070,Las Acac°as,Unidad habitacional,Morelia,Michoac†n de Ocampo,Morelia,58011,16,58011,,31,053,0517,Urbano,06
58078,Condominio Planetario,Unidad habitacional,Morelia,Michoac†n de Ocampo,Morelia,58011,16,58011,,31,053,0055,Urbano,06
58078,Estrella,Colonia,Morelia,Michoac†n de Ocampo,Morelia,58011,16,58011,,09,053,4786,Urbano,06
58079,Virreyes,Conjunto habitacional,Morelia,Michoac†n de Ocampo,Morelia,58011,16,58011,,12,053,0056,Urbano,06
58079,Camelinas,Conjunto habitacional,Morelia,Michoac†n de Ocampo,Morelia,58011,16,58011,,12,053,3678,Urbano,06
58080,Colonial Morelia,Colonia,Morelia,Michoac†n de Ocampo,Morelia,58011,16,58011,,09,053,0057,Urbano,06
58080,La Huerta,Colonia,Morelia,Michoac†n de Ocampo,Morelia,58011,16,58011,,09,053,0058,Urbano,06
58080,Ampliaci¢n La Huerta,Colonia,Morelia,Michoac†n de Ocampo,Morelia,58011,16,58011,,09,053,0059,Urbano,06
58080,Leona Vicario,Colonia,Morelia,Michoac†n de Ocampo,Morelia,58011,16,58011,,09,053,0061,Urbano,06
58080,Arcoiris,Colonia,Morelia,Michoac†n de Ocampo,Morelia,58011,16,58011,,09,053,3412,Urbano,06
58080,Bosques de la Huerta,Colonia,Morelia,Michoac†n de Ocampo,Morelia,58011,16,58011,,09,053,3649,Urbano,06
58080,Praderas La Huerta,Fraccionamiento,Morelia,Michoac†n de Ocampo,Morelia,58011,16,58011,,21,053,3655,Urbano,06
58080,Hacienda de la Huerta,Fraccionamiento,Morelia,Michoac†n de Ocampo,Morelia,58011,16,58011,,21,053,3664,Urbano,06
58080,Congreso de An†huac,Fraccionamiento,Morelia,Michoac†n de Ocampo,Morelia,58011,16,58011,,21,053,3854,Urbano,06
58080,Ampliaci¢n Hacienda de la Huerta,Colonia,Morelia,Michoac†n de Ocampo,Morelia,58011,16,58011,,09,053,4790,Urbano,06
58085,Balcones de Morelia,Fraccionamiento,Morelia,Michoac†n de Ocampo,Morelia,58011,16,58011,,21,053,0063,Urbano,06
58085,Rinc¢n Santa Sof°a,Fraccionamiento,Morelia,Michoac†n de Ocampo,Morelia,58011,16,58011,,21,053,3541,Urbano,06
58085,Loma de la Floresta,Fraccionamiento,Morelia,Michoac†n de Ocampo,Morelia,58011,16,58011,,21,053,3922,Urbano,06
