c_CP	D_mnpio	c_estado
1001	Aguascalientes	1
1011	San Francisco de los Romo	1
1010	El Llano	1
1007	Rincon de Romos	1
1004	Cosio	1
1008	San Jose de Gracia	1
1009	Tepezala	1
1006	Pabellon de Arteaga	1
1002	Asientos	1
1003	Calvillo	1
1005	Jesus Maria	1
2002	Mexicali	2
2003	Tecate	2
2004	Tijuana	2
2005	Playas de Rosarito	2
2001	Ensenada	2
2006	San Quintin	2
3003	La Paz	3
3008	Los Cabos	3
3001	Comondu	3
3009	Loreto	3
3002	Mulege	3
4002	Campeche	4
4003	Carmen	4
4007	Palizada	4
4011	Candelaria	4
4009	Escarcega	4
4004	Champoton	4
4012	Seybaplaya	4
4006	Hopelchen	4
4010	Calakmul	4
4008	Tenabo	4
4005	Hecelchakan	4
4001	Calkini	4
5030	Saltillo	5
5004	Arteaga	5
5015	Juarez	5
5008	Escobedo	5
5031	San Buenaventura	5
5010	Frontera	5
5018	Monclova	5
5006	Castaños	5
5027	Ramos Arizpe	5
5025	Piedras Negras	5
5022	Nava	5
5002	Acuña	5
5020	Muzquiz	5
5014	Jimenez	5
5038	Zaragoza	5
5019	Morelos	5
5003	Allende	5
5037	Villa Union	5
5013	Hidalgo	5
5028	Sabinas	5
5032	San Juan de Sabinas	5
5035	Torreon	5
5017	Matamoros	5
5036	Viesca	5
5023	Ocampo	5
5021	Nadadores	5
5007	Cuatro Cienegas	5
5029	Sacramento	5
5033	San Pedro	5
5009	Francisco I. Madero	5
5024	Parras	5
6002	Colima	6
6009	Tecoman	6
6007	Manzanillo	6
6001	Armeria	6
6004	Coquimatlan	6
6003	Comala	6
6005	Cuauhtemoc	6
6006	Ixtlahuacan	6
6008	Minatitlan	6
6010	Villa de alvarez	6
7101	Tuxtla Gutierrez	7
7079	San Fernando	7
7012	Berriozabal	7
7061	Ocozocoautla de Espinosa	7
7086	Suchiapa	7
7027	Chiapa de Corzo	7
7078	San Cristobal de las Casas	7
7023	Chamula	7
7044	Ixtapa	7
7111	Zinacantan	7
7002	Acala	7
7123	Emiliano Zapata	7
7094	Teopisca	7
7064	Oxchuc	7
7038	Huixtan	7
7093	Tenejapa	7
7056	Mitontic	7
7074	Reforma	7
7048	Juarez	7
7068	Pichucalco	7
7088	Sunuapa	7
7043	Ixtacomitan	7
7045	Ixtapangajoya	7
7124	Mezcalapa	7
7092	Tecpatan	7
7021	Copainala	7
7018	Coapilla	7
7039	Huitiupan	7
7042	Ixhuatan	7
7073	Rayon	7
7072	Pueblo Nuevo Solistahuacan	7
