d_codigo,d_asenta,c_mnpio
20000,Aguascalientes Centro,1
20010,Olivares Santana,1
20018,Línea de Fuego,1
20020,Buenos Aires,1
20030,Gremial,1
20030,Industrial,1
20040,Altavista,1
20040,Curtidores,1
20040,Miravalle,1
20050,Del Carmen,1
20050,La Fe,1
20050,México,1
20050,Primavera,1
20050,San Pablo,1
20059,Guadalupe,1
20059,Heliodoro Garcia,1
20070,San Marcos,1
20110,Talamantes Ponce,1
20116,Trojes de Alonso,1
20130,Fátima,1
20130,Primo Verdad,1
20130,San José del Arenal,1
20130,Unidad Ganadera,1
20140,Morelos,1
20150,Buenavista,1
20150,Macias Arellano,1
20150,Lomas del Cobano,1
20157,La Higuerilla,1
20160,Francisco Guel Jimenez,1
20164,Santa Anita 4a Sección,1
20170,Zona Militar,1
20172,Cumbres III,1
20174,Los Pericos,1
20175,J Refugio Esparza Reyes,1
20179,Progreso,1
20180,Del Trabajo,1
20180,Ferronales,1
20180,Lomas de Santa Anita,1
20190,Héroes,1
20196,El Rocío,1
20198,Ex Hacienda Ojocaliente,1
20199,El Riego,1
20200,Veteranos de la Revolución,1
20205,Nueva España,1
20206,La Barranquilla,1
20206,Barandales de San José,1
20210,La Barranca de Guadalupe,1
20210,Pirules INFONAVIT,1
20218,Francisco Villa,1
20218,San Martin de La Cantera,1
20219,El Edén,1
20220,Las Flores,1
20230,Obraje,1
20234,Agricultura,1
20236,Jardines de Santa Elena,1
20238,Santa Elena 2a Sección,1
20240,El Laurel,1
20240,El Llanito,1
20250,La Huerta,1
20250,San Luis,1
20260,Ojo de Agua,1
20260,Sidusa,1
20263,Ojo de Agua de Palmitas,1
20266,La Cruz,1
20266,Misión de Santa Fe,1
20267,Jardines de La Convención,1
20269,Jardines de La Luz,1
20270,Jardines de La Asunción,1
20270,Las Canoas,1
20276,Jardines de las Bugambilias,1
20280,Jardines del Sur,1
20280,Martinez Dominguez,1
20280,San Francisco del Arenal,1
20280,San Pedro,1
20286,Vicente Guerrero,1
20298,Villas de Ajedrez,1
20298,Lomas de Nueva York,1
20299,Mujeres Ilustres,1
20300,Panamericano,11
20300,San Francisco de los Romos Centro,11
20303,El Tirón (El Progreso),11
20303,Los Cedros,11
20303,San José Buenavista,11
20304,Fracción de la Trinidad II,11
20304,La Escondida (El Salero),11
20304,San José del Barranco,11
20304,28 de Abril,11
20305,El Barranco,11
20305,El Gigante,11
20305,La Providencia,11
20305,La Trinidad,11
20305,La Unión,11
20305,Las Carmelitas,11
20305,Sociedad Plan de los Sabinos,11
20305,San Ángel,11
20305,San Pedro Victoria de Arriba,11
20305,Santa Anita,11
20310,Coyotes,1
20310,Viñedos San Felipe,1
20320,Estación Cañada Honda,1
20326,Valle de San Ignacio (El Filso),1
20326,La Perla,1
20326,San Ignacio II,1
20326,San Ignacio III,1
20328,Pocitos,1
20330,Palo Alto Centro,10
20333,El Barreno (Ampliación San Francisco),10
20339,Santa Elena,10
20340,Peñuelas (El Cienegal),1
20347,El Turicate,1
20350,Macario J Gómez,11
20358,Ex-Viñedos Guadalupe,11
20367,2 de Octubre,1
20367,Che Guevara,1
20367,Tanque el Trigo,1
20400,Rincón de Romos Centro,7
20403,Santa Elena,7
20403,Desarrollo Especial La Pedrera,7
20403,Subdivisión La Piedrera,7
20405,El Chaveño,7
20406,Rinconada Alameda,7
20406,Santa Cruz,7
20406,Cerro del Gato,7
20410,Independencia,7
20410,Magisterial,7
20410,Santa Anita,7
20414,Desarrollo Especial,7
20415,San José,7
20416,Presidentes de México,7
20420,Pablo Escaleras,7
20423,San Judas Tadeo (Santa Fe),7
20427,El Valle de las Delicias,7
20427,16 de Septiembre,7
20427,Los Morales,7
20434,18 de Marzo,7
20435,El Salitrillo,7
20436,El Milagro,7
20437,Constitución,7
20437,Héctor Hugo Olivares,7
20437,Lindavista,7
20437,Pabellón de Hidalgo Centro,7
20460,Cosío Centro,4
20468,Santa Cruz,4
20469,Mexiquito,4
20469,Coplamar,4
20469,Vista Hermosa,4
20478,Guadalupito,4
20504,Santa Elena de la Cruz (Capadero),8
20600,Tepezalá Centro,9
20603,San Rafael,9
20604,Felipe González González,9
20607,Luis Ortega Douglas,9
20607,Los Arcos,9
20614,Ampliación los Hornos (el Lagunazo),9
20664,Nueva,6
20665,Emiliano Zapata,6
20670,Pabellón de Arteaga Centro,6
20673,Barrio Industrial,6
20674,Francisco Villa,6
20674,Villas de Pabellón,6
20676,5 de Mayo,6
20677,Plutarco Elías Calles,6
20677,Progreso Sur,6
20678,Progreso Norte,6
20678,Subdivisión Villa de Guadalupe,6
20683,El Mezquite,6
20684,Ojo Zarco,6
20684,El Rayo,6
20686,Gámez Orozco (Puerta de Carboneras),6
20700,Guadalupe,2
20700,Loma Bonita,2
20700,Agua Nueva,2
20700,Álamos,2
20700,La Sierra,2
20700,Arboledas,2
20700,Villa Juárez Centro,2
20700,La Loma,2
20700,El Rascón,2
20710,Asientos Centro,2
20715,INFONAVIT,2
20724,Gómez Portugal,2
20734,Lázaro Cárdenas,2
20739,San Pedro,2
20770,Emancipación (Borunda),2
20800,Calvillo Centro,3
20802,López Mateos,3
20802,El Guayabo,3
20802,Sección Benito Juárez,3
20802,Sección Cerritos,3
20802,Sección Loma de Fundadores,3
20803,Lomas de Huejúcar,3
20803,San Nicolás,3
20804,Ejidal,3
20804,Liberal,3
20804,Rincón de Baltazares,3
20804,Valle de Santiago,3
20804,Arroyo de Los Caballos,3
20804,Del Carmen,3
20804,Azteca,3
20804,Morelos,3
20805,Cerrito Alto,3
20805,Emiliano Zapata,3
20805,Las Flores,3
20805,Valle de Huejúcar,3
20805,Los Angeles,3
20820,Jardines de San Isidro (Colonia Limón),3
20834,Potrero de los López,3
20834,Las Huertas,3
20834,La Pila,3
20834,La Alberca,3
20834,La Españita,3
20834,Los Baños,3
20834,Los Esparza,3
20834,La Placita,3
20834,La Casa Grande,3
20834,Azoteyita,3
20834,Ojocaliente,3
20834,La Fortuna,3
20834,Los Arcos,3
20834,Magisterial,3
20850,Pozo de los Artistas,3
20854,El Taray,3
20900,Corral de Barrancos,5
20900,Maravillas,5
20901,El Maguey,5
20901,Las Jaulas,5
20901,La Loma de Valladolid,5
20904,El Barreno,5
20905,Miravalle,5
20905,Paso Blanco,5
20905,La Lomita de Paso Blanco (Las Canoas),5
20907,Paseos de Aguascalientes,5
20908,Tepetates,5
20909,Saturnino Herran,5
20909,Los Vázquez,5
20910,San Antonio de los Horcones,5
20910,Brownsville,5
20913,Villas de Guadalupe (La Malobra),5
20913,El Cenizo,5
20920,Jesús María Centro,5
20922,Bellavista,5
20922,El Calvario,5
20922,La Escalera,5
20923,Flores Magón,5
20923,La Cardona,5
20923,Los Arroyitos,5
20923,San Miguelito,5
20924,Cielo Claro,5
20924,Jacarandas,5
20924,Deportiva,5
20925,Lomas de Jesús María,5
20925,Vistas del Sáuz,5
20926,Las Palmas,5
20926,Arboledas,5
20926,Chicahuales,5
20926,Lomas del Valle,5
20926,Martínez Andrade,5
20926,Vista Hermosa,5
20927,La Cañada,5
20927,Ampliación La Cañada,5
20927,Ojos de Agua,5
20928,Luis Donaldo Colosio,5
20928,El Torito,5
20928,Las Palmas,5
20928,El Chaveño,5
20928,Solar de Jonacatique,5
20933,Unión de Ladrilleros,5
20983,El Llano,5
20984,Providencia,5
20994,Villas de Montegrande,5
20996,La Primavera,5
21000,Centro Cívico,2
21010,Industrial,2
21020,Burócrata,2
21030,Nacozari,2
21030,Libertad,2
21039,Esteban Cantú,2
21040,Ferrocarril,2
21050,Nueva Esperanza,2
21060,Anáhuac,2
21060,Constituyentes,2
21060,Josué Molina,2
21060,Indeco Anáhuac,2
21080,El Vidrio,2
21090,Del Rastro,2
21090,Ejido Zacatecas,2
21090,Agualeguas,2
21100,Nueva,2
21100,Primera Sección,2
21100,Segunda Sección,2
21110,Eligio Esquivel,2
21110,Fronteriza,2
21110,Revolución,2
21110,Santa Clara,2
21120,Pueblo Nuevo,2
21120,Río Nuevo,2
21130,Baja California,2
21135,Las Palmeras,2
21135,Palmar de Orizaba,2
21135,Sindicalista,2
21135,Los Faisanes,2
21135,Mártires de La Democracia,2
21137,Lucerna,2
21137,Ampliación Lucerna,2
21137,Luis Donaldo Colosio,2
21137,Mayos,2
21137,Oscar Garzón,2
21137,Carlos Salinas,2
21137,Ladrilleros Santa Isabel,2
21137,Cachanilla,2
21137,Villa del Campo,2
21137,San Martín Caballero,2
21137,El Colonial,2
21137,Villas Coahuila,2
21137,Villas del Paraíso,2
21138,La Luna,2
21138,San Clemente,2
21138,San Jacinto,2
21138,El Refugio,2
21138,Ampliación Refugio,2
21138,El Paraíso,2
21138,Torremolinos,2
21138,Misión Viejo,2
21138,Valle de los Ángeles,2
21139,La Estrella,2
21139,Santa Isabel,2
21139,San Carlos,2
21139,Santa Lorena,2
21139,Gabriela Mistral,2
21139,San José,2
21139,Nuevo Santa Lucia,2
21139,San Pablo,2
21139,Ampliación Centinela,2
21139,El Sauce,2
21140,Esperanza,2
21140,Loma Linda,2
21140,Parcela 36,2
21147,Bordo Wisteria,2
21150,Bellavista,2
21150,San Isidro,2
21150,Barrio Álamo,2
21150,Jabonera,2
21160,San Luis,2
21160,Simental,2
21160,Gasca,2
21160,Municipio Libre,2
21160,CCI Ejidatarios,2
21160,Ejido Orizaba,2
21170,Militar,2
21178,Electricistas,2
21179,Martha Welch,2
21180,Universitario,2
21185,El Porvenir,2
21190,Granjas Virreyes,2
21190,Huertas de La Progreso,2
21190,Hermanos Fuentes,2
21190,Santo Niño,2
21200,Cuauhtémoc Norte,2
21200,Cuauhtémoc Sur,2
21210,Alamitos,2
21210,San Gabriel,2
21210,Estatutos Jurídicos,2
21210,Prolongación Alamitos,2
21215,Alameda,2
21217,Andalucía,2
21218,Compuertas,2
21220,Corregidora,2
21220,El Porvenir,2
21220,Imperial,2
21220,Josefa Ortiz de Domínguez,2
21220,Flores Magón,2
21220,Armando Gutiérrez,2
21224,Nuevo Ideal,2
21225,Valle de Álamo,2
21229,Alianza Para La Producción,2
21229,Aduana Garita 2,2
21230,Aviación,2
21230,Justo Sierra,2
21230,Periodista,2
21239,Ciudad Deportiva,2
21240,Prohogar,2
21240,Santa Maria,2
21250,Benito Juárez,2
21250,Constitución,2
21250,Mártires de 1906,2
21250,Miraflores,2
21250,República Mexicana,2
21250,Roma,2
21260,Chapultepec los Pinos,2
21260,Ampliación las Fuentes,2
21260,1 de Diciembre,2
21270,Santa Rosalía,2
21270,Santa Teresa,2
21270,Vallarta,2
21279,Plaza Universidad,2
21280,Insurgentes Este,2
21280,Insurgentes Oeste,2
21280,Maestros Estatales,2
21285,Residencias Imperiales,2
21290,Independencia,2
21290,Ampliación Independencia,2
21297,Villas del Rosario,2
21297,Hacienda de Lourdes,2
21298,Bordo la Rivera,2
21299,Misión de Guadalupe,2
21300,División del Norte,2
21309,Parcela 62,2
21310,Morelos,2
21320,Esteban Cantú,2
21320,Felipe Ángeles,2
21320,Joaquín Murrieta,2
21320,Lucio Blanco,2
21320,Pedro Moreno,2
21320,Vicente Guerrero,2
21323,San Fernando Regularización Corett,2
21323,Voluntad,2
21323,Reacomodo San Fernando,2
21323,Valle de La Plata,2
21324,Reacomodo Río Colorado,2
21324,Zaragoza,2
21325,Zona Progreso,2
21325,Cucapah Progreso,2
21326,Rivera de la Progreso,2
21326,Progreso,2
21326,Pioneros de La Progreso,2
21326,Jardines de La Progreso,2
21326,Ampliación Santa Lucia Progreso,2
21326,Ciudad del Sol,2
21327,Mezquital,2
21330,Adolfo López Mateos,2
21337,Televisora,2
21339,Ampliación Jardines del Lago,2
21340,Aurora,2
21340,Monte Alban,2
21350,Conjunto Urbano Esperanza,2
21350,Gómez Farías,2
21350,Santa Cecilia,2
21353,Paseos de Xochimilco,2
21353,El Campanario,2
21355,Zona Urbana del Ejido Xochimilco,2
21355,Hacienda del Bosque,2
21356,Villa del Sol INFONAVIT,2
21360,Ex Ejido Coahuila,2
21360,Las Palmas,2
21360,Sanchez Taboada,2
21370,Carbajal,2
21370,Lázaro Cárdenas,2
21370,Profesores Federales,2
21376,Plutarco Elías Calles,2
21376,Puerta del Sol,2
21378,Lomas de Abasolo,2
21378,Saturno (Abasolo),2
21378,Sombras Jery,2
21378,Nuevo Amanecer,2
21379,Rancho La Bodega,2
21379,Real del Castillo,2
21379,Ampliación San Vizcaíno,2
21383,Dos División Dos,2
