c_mnpio,D_mnpio,c_estado
1,Aguascalientes,1
11,San Francisco de los Romo,1
10,El Llano,1
7,Rincón de Romos,1
4,Cosío,1
8,San José de Gracia,1
9,Tepezalá,1
6,Pabellón de Arteaga,1
2,Asientos,1
3,Calvillo,1
5,Jesús María,1
2,Mexicali,2
3,Tecate,2
4,Tijuana,2
5,Playas de Rosarito,2
1,Ensenada,2
6,San Quintín,2
3,La Paz,3
8,Los Cabos,3
1,Comondú,3
9,Loreto,3
2,Mulegé,3
2,Campeche,4
3,Carmen,4
7,Palizada,4
11,Candelaria,4
9,Escárcega,4
4,Champotón,4
12,Seybaplaya,4
6,Hopelchén,4
10,Calakmul,4
8,Tenabo,4
5,Hecelchakán,4
1,Calkiní,4
30,Saltillo,5
4,Arteaga,5
15,Juárez,5
8,Escobedo,5
31,San Buenaventura,5
10,Frontera,5
18,Monclova,5
6,Castaños,5
27,Ramos Arizpe,5
25,Piedras Negras,5
22,Nava,5
2,Acuña,5
20,Múzquiz,5
14,Jiménez,5
38,Zaragoza,5
19,Morelos,5
3,Allende,5
37,Villa Unión,5
13,Hidalgo,5
28,Sabinas,5
32,San Juan de Sabinas,5
35,Torreón,5
17,Matamoros,5
36,Viesca,5
23,Ocampo,5
21,Nadadores,5
7,Cuatro Ciénegas,5
29,Sacramento,5
33,San Pedro,5
9,Francisco I. Madero,5
24,Parras,5
2,Colima,6
9,Tecomán,6
7,Manzanillo,6
1,Armería,6
4,Coquimatlán,6
3,Comala,6
5,Cuauhtémoc,6
6,Ixtlahuacán,6
8,Minatitlán,6
10,Villa de Álvarez,6
101,Tuxtla Gutiérrez,7
79,San Fernando,7
12,Berriozábal,7
61,Ocozocoautla de Espinosa,7
86,Suchiapa,7
27,Chiapa de Corzo,7
78,San Cristóbal de las Casas,7
23,Chamula,7
44,Ixtapa,7
111,Zinacantán,7
2,Acala,7
123,Emiliano Zapata,7
94,Teopisca,7
64,Oxchuc,7
38,Huixtán,7
93,Tenejapa,7
56,Mitontic,7
74,Reforma,7
48,Juárez,7
68,Pichucalco,7
88,Sunuapa,7
43,Ixtacomitán,7
45,Ixtapangajoya,7
124,Mezcalapa,7
92,Tecpatán,7
21,Copainalá,7
18,Coapilla,7
39,Huitiupán,7
42,Ixhuatán,7
73,Rayón,7
72,Pueblo Nuevo Solistahuacán,7
47,Jitotol,7
13,Bochil,7
112,San Juan Cancuc,7
76,Sabanilla,7
81,Simojovel,7
14,El Bosque,7
49,Larráinzar,7
119,Santiago el Pinar,7
26,Chenalhó,7
66,Pantelhó,7
82,Sitalá,7
77,Salto de Agua,7
96,Tila,7
100,Tumbalá,7
109,Yajalón,7
59,Ocosingo,7
31,Chilón,7
65,Palenque,7
16,Catazajá,7
19,Comitán de Domínguez,7
104,Tzimol,7
11,Bella Vista,7
34,Frontera Comalapa,7
99,La Trinitaria,7
41,La Independencia,7
52,Las Margaritas,7
4,Altamirano,7
106,Venustiano Carranza,7
75,Las Rosas,7
20,La Concordia,7
8,Ángel Albino Corzo,7
117,Montecristo de Guerrero,7
83,Socoltenango,7
17,Cintalapa,7
46,Jiquipilas,7
9,Arriaga,7
108,Villaflores,7
97,Tonalá,7
107,Villa Corzo,7
69,Pijijiapan,7
51,Mapastepec,7
3,Acapetahua,7
1,Acacoyagua,7
32,Escuintla,7
71,Villa Comaltitlán,7
40,Huixtla,7
54,Mazatán,7
37,Huehuetán,7
103,Tuzantán,7
89,Tapachula,7
87,Suchiate,7
35,Frontera Hidalgo,7
55,Metapa,7
102,Tuxtla Chico,7
105,Unión Juárez,7
15,Cacahoatán,7
57,Motozintla,7
53,Mazapa de Madero,7
6,Amatenango de la Frontera,7
80,Siltepec,7
125,Honduras de la Sierra,7
19,Chihuahua,8
17,Cuauhtémoc,8
54,Riva Palacio,8
4,Aquiles Serdán,8
6,Bachíniva,8
31,Guerrero,8
50,Nuevo Casas Grandes,8
5,Ascensión,8
35,Janos,8
13,Casas Grandes,8
10,Buenaventura,8
25,Gómez Farías,8
34,Ignacio Zaragoza,8
40,Madera,8
48,Namiquipa,8
63,Temósachic,8
37,Juárez,8
53,Praxedis G. Guerrero,8
1,Ahumada,8
52,Ojinaga,8
2,Aldama,8
38,Julimes,8
21,Delicias,8
55,Rosales,8
45,Meoqui,8
27,Guachochi,8
9,Bocoyna,8
18,Cusihuiriachi,8
24,Santa Isabel,8
12,Carichí,8
20,Chínipas,8
65,Urique,8
29,Guadalupe y Calvo,8
59,San Francisco del Oro,8
7,Balleza,8
60,Santa Bárbara,8
11,Camargo,8
62,Saucillo,8
67,Valle de Zaragoza,8
16,La Cruz,8
32,Hidalgo del Parral,8
3,Allende,8
39,López,8
44,Matamoros,8
36,Jiménez,8
14,Coronado,8
10,Álvaro Obregón,9
2,Azcapotzalco,9
14,Benito Juárez,9
3,Coyoacán,9
4,Cuajimalpa de Morelos,9
15,Cuauhtémoc,9
5,Gustavo A. Madero,9
6,Iztacalco,9
7,Iztapalapa,9
8,La Magdalena Contreras,9
16,Miguel Hidalgo,9
9,Milpa Alta,9
11,Tláhuac,9
12,Tlalpan,9
17,Venustiano Carranza,9
13,Xochimilco,9
5,Durango,10
39,Nuevo Ideal,10
1,Canatlán,10
3,Coneto de Comonfort,10
28,San Juan del Río,10
32,Santiago Papasquiaro,10
26,San Dimas,10
8,Guadalupe Victoria,10
21,Peñón Blanco,10
20,Pánuco de Coronado,10
22,Poanas,10
16,Nombre de Dios,10
38,Vicente Guerrero,10
33,Súchil,10
23,Pueblo Nuevo,10
7,Gómez Palacio,10
12,Lerdo,10
13,Mapimí,10
36,Tlahualilo,10
10,Hidalgo,10
17,Ocampo,10
25,San Bernardo,10
