"d_codigo";"d_asenta";"fk_c_CP"
20000;"Aguascalientes Centro";1001
20010;"Olivares Santana";1001
20018;"Linea de Fuego";1001
20020;"Buenos Aires";1001
20030;"Gremial";1001
20030;"Industrial";1001
20040;"Altavista";1001
20040;"Curtidores";1001
20040;"Miravalle";1001
20050;"Del Carmen";1001
20050;"La Fe";1001
20050;"Mexico";1001
20050;"Primavera";1001
20050;"San Pablo";1001
20059;"Guadalupe";1001
20059;"Heliodoro Garcia";1001
20070;"San Marcos";1001
20110;"Talamantes Ponce";1001
20116;"Trojes de Alonso";1001
20130;"Fatima";1001
20130;"Primo Verdad";1001
20130;"San Jose del Arenal";1001
20130;"Unidad Ganadera";1001
20140;"Morelos";1001
20150;"Buenavista";1001
20150;"Macias Arellano";1001
20150;"Lomas del Cobano";1001
20157;"La Higuerilla";1001
20160;"Francisco Guel Jimenez";1001
20164;"Santa Anita 4a Seccion";1001
20170;"Zona Militar";1001
20172;"Cumbres III";1001
20174;"Los Pericos";1001
20175;"J Refugio Esparza Reyes";1001
20179;"Progreso";1001
20180;"Del Trabajo";1001
20180;"Ferronales";1001
20180;"Lomas de Santa Anita";1001
20190;"Heroes";1001
20196;"El Rocio";1001
20198;"Ex Hacienda Ojocaliente";1001
20199;"El Riego";1001
20200;"Veteranos de la Revolucion";1001
20205;"Nueva España";1001
20206;"La Barranquilla";1001
20206;"Barandales de San Jose";1001
20210;"La Barranca de Guadalupe";1001
20210;"Pirules INFONAVIT";1001
20218;"Francisco Villa";1001
20218;"San Martin de La Cantera";1001
20219;"El Eden";1001
20220;"Las Flores";1001
20230;"Obraje";1001
20234;"Agricultura";1001
20236;"Jardines de Santa Elena";1001
20238;"Santa Elena 2a Seccion";1001
20240;"El Laurel";1001
20240;"El Llanito";1001
20250;"La Huerta";1001
20250;"San Luis";1001
20260;"Ojo de Agua";1001
20260;"Sidusa";1001
20263;"Ojo de Agua de Palmitas";1001
20266;"La Cruz";1001
20266;"Mision de Santa Fe";1001
20267;"Jardines de La Convencion";1001
20269;"Jardines de La Luz";1001
20270;"Jardines de La Asuncion";1001
20270;"Las Canoas";1001
20276;"Jardines de las Bugambilias";1001
20280;"Jardines del Sur";1001
20280;"Martinez Dominguez";1001
20280;"San Francisco del Arenal";1001
20280;"San Pedro";1001
20286;"Vicente Guerrero";1001
20298;"Villas de Ajedrez";1001
20298;"Lomas de Nueva York";1001
20299;"Mujeres Ilustres";1001
20300;"Panamericano";1011
20300;"San Francisco de los Romos Centro";1011
20303;"El Tiron (El Progreso)";1011
20303;"Los Cedros";1011
20303;"San Jose Buenavista";1011
20304;"Fraccion de la Trinidad II";1011
20304;"La Escondida (El Salero)";1011
20304;"San Jose del Barranco";1011
20304;"28 de Abril";1011
20305;"El Barranco";1011
20305;"El Gigante";1011
20305;"La Providencia";1011
20305;"La Trinidad";1011
20305;"La Union";1011
20305;"Las Carmelitas";1011
20305;"Sociedad Plan de los Sabinos";1011
20305;"San angel";1011
20305;"San Pedro Victoria de Arriba";1011
20305;"Santa Anita";1011
20310;"Coyotes";1001
20310;"Viñedos San Felipe";1001
20320;"Estacion Cañada Honda";1001
20326;"Valle de San Ignacio (El Filso)";1001
20326;"La Perla";1001
